date,close,open,high,low,volume,ticker,nearest_contract
2021-04-16,257.4,257.2,258.2,256.2,3892.0,K_2021,K_2021
2021-04-19,257.8,257.8,258.6,256.52,2728.0,K_2021,K_2021
2021-04-20,256.86,256.0,257.2,255.2,4582.0,K_2021,K_2021
2021-04-21,257.14,256.0,257.5,255.9,4894.0,K_2021,K_2021
2021-04-22,260.06,258.2,260.42,258.0,3770.0,K_2021,K_2021
2021-04-23,257.6,258.7,259.2,256.7,4092.0,K_2021,K_2021
2021-04-26,257.3,256.9,258.62,256.5,3524.0,K_2021,K_2021
2021-04-27,259.42,256.7,259.42,255.2,4592.0,K_2021,K_2021
2021-04-28,257.22,257.2,258.8,257.0,3662.0,K_2021,K_2021
2021-04-29,258.52,256.6,260.0,256.4,2486.0,K_2021,K_2021
2021-04-30,270.38,258.2,260.4,258.2,1528.0,K_2021,K_2021
2021-05-03,272.72,271.0,273.2,270.8,1502.0,M_2021,M_2021
2021-05-04,270.76,273.0,273.4,269.5,3234.0,M_2021,M_2021
2021-05-05,271.92,270.8,273.46,270.0,2022.0,M_2021,M_2021
2021-05-06,275.84000000000003,272.6,277.7,272.6,2678.0,M_2021,M_2021
2021-05-07,274.36,276.0,276.0,273.7,2004.0,M_2021,M_2021
2021-05-10,278.74,277.0,279.0,277.0,4408.0,M_2021,M_2021
2021-05-11,279.3,276.7,281.0,276.5,3586.0,M_2021,M_2021
2021-05-12,282.84000000000003,282.0,284.6,282.0,3050.0,M_2021,M_2021
2021-05-13,281.58000000000004,282.3,283.2,279.7,2362.0,M_2021,M_2021
2021-05-14,286.14,284.24,286.6,284.24,2672.0,M_2021,M_2021
2021-05-17,285.76,285.2,286.0,283.08000000000004,3842.0,M_2021,M_2021
2021-05-18,279.5,283.8,283.8,277.2,4092.0,M_2021,M_2021
2021-05-19,269.64,274.5,276.5,268.6,7280.0,M_2021,M_2021
2021-05-20,276.7,272.0,278.0,271.0,6052.0,M_2021,M_2021
2021-05-21,278.38,278.98,280.48,274.3,3444.0,M_2021,M_2021
2021-05-24,278.03999999999996,275.6,278.3,275.5,1606.0,M_2021,M_2021
2021-05-25,279.53999999999996,279.6,281.3,279.2,3538.0,M_2021,M_2021
2021-05-26,283.82,282.98,284.8,282.12,3636.0,M_2021,M_2021
2021-05-27,281.64,282.4,283.0,281.0,5566.0,M_2021,M_2021
2021-05-28,279.91999999999996,280.41999999999996,280.8,278.7,3978.0,M_2021,M_2021
2021-05-31,285.56,278.5,279.1,278.1,1008.0,M_2021,M_2021
2021-06-01,288.86,287.8,289.0,287.8,2410.0,N_2021,N_2021
2021-06-02,286.36,287.1,287.6,285.6,1472.0,N_2021,N_2021
2021-06-03,285.68,288.1,288.3,285.4,1278.0,N_2021,N_2021
2021-06-04,286.4,284.8,286.5,283.2,1132.0,N_2021,N_2021
2021-06-07,288.78,286.0,289.2,285.4,1976.0,N_2021,N_2021
2021-06-08,294.2,290.5,294.5,290.5,2286.0,N_2021,N_2021
2021-06-09,296.6,294.5,296.7,292.6,3018.0,N_2021,N_2021
2021-06-10,298.1,296.7,298.3,294.0,3236.0,N_2021,N_2021
2021-06-11,295.1,296.8,298.3,294.7,2652.0,N_2021,N_2021
2021-06-14,298.52,297.1,300.7,296.88,2254.0,N_2021,N_2021
2021-06-15,294.52,297.0,297.0,294.3,2504.0,N_2021,N_2021
