-40	-29
-40	-26
10	-7
-24	-23
-52	-29
-6	-8
-7	-15
-53	-29
-28	-12
1	-5
-50	-28
-51	-25
-3	-6
-40	-23
-66	-29
-21	-9
-30	-19
-76	-35
-49	-19
-21	-14
-67	-33
-57	-25
-5	-8
-44	-27
-66	-27
-15	-1
-24	-8
-66	-22
-34	-7
-8	-2
-55	-19
-47	-9
-3	7
-46	-16
-66	-20
-16	-1
-33	-11
-72	-24
-34	-10
-18	-8
-69	-29
-57	-22
-12	-6
-52	-25
-69	-27
-18	-5
-34	-19
-70	-32
-34	-14
-17	-11
-64	-30
-47	-19
-4	-4
-49	-24
